id,label,description,url,x,y,weight,cluster
1,khan (2014),"<table><tr><td>Authors:</td><td>khan, ni; brouwer, r; yang, h</td></tr><tr><td>Title:</td><td>household's willingness to pay for arsenic safe drinking water in bangladesh</td></tr><tr><td>Source:</td><td>journal of environmental management</td></tr><tr><td>Volume:</td><td>143</td></tr><tr><td>Pages:</td><td>151-161</td></tr><tr><td>Year:</td><td>2014</td></tr></table>",http://dx.doi.org/10.1016/j.jenvman.2014.04.018,0.4103,-0.1793,1,1
2,hossain (2014),"<table><tr><td>Authors:</td><td>hossain, m; bhattacharya, p; frape, sk; jacks, g; islam, mm; rahman, mm; von bromssen, m; hasan, ma; ahmed, km</td></tr><tr><td>Title:</td><td>sediment color tool for targeting arsenic-safe aquifers for the installation of shallow drinking water tubewells</td></tr><tr><td>Source:</td><td>science of the total environment</td></tr><tr><td>Volume:</td><td>493</td></tr><tr><td>Pages:</td><td>615-625</td></tr><tr><td>Year:</td><td>2014</td></tr></table>",http://dx.doi.org/10.1016/j.scitotenv.2014.05.064,-0.5991,-0.2611,1,2
3,tsuji (2014),"<table><tr><td>Authors:</td><td>tsuji, js; perez, v; garry, mr; alexander, dd</td></tr><tr><td>Title:</td><td>association of low-level arsenic exposure in drinking water with cardiovascular disease: a systematic review and risk assessment</td></tr><tr><td>Source:</td><td>toxicology</td></tr><tr><td>Volume:</td><td>323</td></tr><tr><td>Pages:</td><td>78-94</td></tr><tr><td>Year:</td><td>2014</td></tr></table>",http://dx.doi.org/10.1016/j.tox.2014.06.008,1.0238,0.1514,1,1
4,niedzwiecki (2014),"<table><tr><td>Authors:</td><td>niedzwiecki, mm; hall, mn; liu, xh; slavkovich, v; ilievski, v; levy, d; alam, s; siddique, ab; parvez, f; graziano, jh; gamble, mv</td></tr><tr><td>Title:</td><td>interaction of plasma glutathione redox and folate deficiency on arsenic methylation capacity in bangladeshi adults</td></tr><tr><td>Source:</td><td>free radical biology and medicine</td></tr><tr><td>Volume:</td><td>73</td></tr><tr><td>Pages:</td><td>67-74</td></tr><tr><td>Year:</td><td>2014</td></tr></table>",http://dx.doi.org/10.1016/j.freeradbiomed.2014.03.042,1.2804,0.1305,1,1
5,johnston (2014),"<table><tr><td>Authors:</td><td>johnston, r; hug, sj; inauen, j; khan, ni; mosler, hj; yang, h</td></tr><tr><td>Title:</td><td>enhancing arsenic mitigation in bangladesh: findings from institutional, psychological, and technical investigations</td></tr><tr><td>Source:</td><td>science of the total environment</td></tr><tr><td>Volume:</td><td>488</td></tr><tr><td>Pages:</td><td>481-487</td></tr><tr><td>Year:</td><td>2014</td></tr></table>",http://dx.doi.org/10.1016/j.scitotenv.2013.11.143,0.0526,-0.5099,1,4
6,van geen (2014),"<table><tr><td>Authors:</td><td>van geen, a; ahmed, eb; pitcher, l; mey, jl; ahsan, h; graziano, jh; ahmed, km</td></tr><tr><td>Title:</td><td>comparison of two blanket surveys of arsenic in tubewells conducted 12 years apart in a 25 km(2) area of bangladesh</td></tr><tr><td>Source:</td><td>science of the total environment</td></tr><tr><td>Volume:</td><td>488</td></tr><tr><td>Pages:</td><td>488-496</td></tr><tr><td>Year:</td><td>2014</td></tr></table>",http://dx.doi.org/10.1016/j.scitotenv.2013.12.049,0.1635,-0.4106,1,4
7,khan (2014),"<table><tr><td>Authors:</td><td>khan, ni; yang, h</td></tr><tr><td>Title:</td><td>arsenic mitigation in bangladesh: an analysis of institutional stakeholders' opinions</td></tr><tr><td>Source:</td><td>science of the total environment</td></tr><tr><td>Volume:</td><td>488</td></tr><tr><td>Pages:</td><td>497-508</td></tr><tr><td>Year:</td><td>2014</td></tr></table>",http://dx.doi.org/10.1016/j.scitotenv.2013.11.007,0.1312,-0.4031,1,4
8,amrose (2014),"<table><tr><td>Authors:</td><td>amrose, se; bandaru, srs; delaire, c; van genuchten, cm; dutta, a; debsarkar, a; orr, c; roy, j; das, a; gadgil, aj</td></tr><tr><td>Title:</td><td>electro-chemical arsenic remediation: field trials in west bengal</td></tr><tr><td>Source:</td><td>science of the total environment</td></tr><tr><td>Volume:</td><td>488</td></tr><tr><td>Pages:</td><td>543-550</td></tr><tr><td>Year:</td><td>2014</td></tr></table>",http://dx.doi.org/10.1016/j.scitotenv.2013.11.074,-0.6122,-0.1316,1,2
9,bennett (2014),"<table><tr><td>Authors:</td><td>bennett, pc; el shishtawy, am; sharp, jm; atwia, mg</td></tr><tr><td>Title:</td><td>source and migration of dissolved manganese in the central nile delta aquifer, egypt</td></tr><tr><td>Source:</td><td>journal of african earth sciences</td></tr><tr><td>Volume:</td><td>96</td></tr><tr><td>Pages:</td><td>8-20</td></tr><tr><td>Year:</td><td>2014</td></tr></table>",http://dx.doi.org/10.1016/j.jafrearsci.2014.03.009,-0.4345,-0.2864,1,2
10,seow (2014),"<table><tr><td>Authors:</td><td>seow, wj; kile, ml; baccarelli, aa; pan, wc; byun, hm; mostofa, g; quamruzzaman, q; rahman, m; lin, xh; christiani, dc</td></tr><tr><td>Title:</td><td>epigenome-wide dna methylation changes with development of arsenic-induced skin lesions in bangladesh: a case-control follow-up study</td></tr><tr><td>Source:</td><td>environmental and molecular mutagenesis</td></tr><tr><td>Volume:</td><td>55</td></tr><tr><td>Issue:</td><td>6</td></tr><tr><td>Pages:</td><td>449-456</td></tr><tr><td>Year:</td><td>2014</td></tr></table>",http://dx.doi.org/10.1002/em.21860,1.0034,0.0561,1,1
11,sinha (2014),"<table><tr><td>Authors:</td><td>sinha, b; bhatacharyya, k</td></tr><tr><td>Title:</td><td>genetic assessment of the suitability of selected methods for species level determination of arsenic in some contaminated inceptisols of west bengal</td></tr><tr><td>Source:</td><td>indian journal of agricultural sciences</td></tr><tr><td>Volume:</td><td>84</td></tr><tr><td>Issue:</td><td>7</td></tr><tr><td>Pages:</td><td>824-827</td></tr><tr><td>Year:</td><td>2014</td></tr></table>",,0.4425,0.5817,1,3
